code,state,avgfare,inflationadj,passenger
AK,Alaska,632.01,693.94,5669.20
AL,Alabama,527.31,576.85,20955.79
AR,Arkansas,483.27,528.80,22262.77
AZ,Arizona,386.57,423.46,84749.28
CA,California,379.22,416.44,159296.15
CO,Colorado,482.31,527.03,74933.82
CT,Connecticut,390.90,427.64,97434.05
DE,Delaware,182.97,195.73,0.00
FL,Florida,335.11,366.51,134649.80
GA,Georgia,490.84,539.36,125762.80
HI,Hawaii,356.46,391.48,61974.26
IA,Iowa,455.27,502.33,17284.77
ID,Idaho,399.10,433.00,19383.95
IL,Illinois,360.18,394.64,137041.62
IN,Indiana,398.29,435.47,72205.21
KS,Kansas,496.32,545.57,7074.80
KY,Kentucky,341.06,372.58,31563.68
LA,Louisiana,477.60,521.80,43217.00
MA,Massachusetts,391.03,427.51,154536.78
MD,Maryland,302.65,330.85,178866.68
ME,Maine,464.96,509.79,10659.50
MI,Michigan,484.74,530.80,42902.99
MN,Minnesota,466.08,510.79,69920.71
MO,Missouri,414.37,452.61,74301.22
MS,Mississippi,506.38,555.80,6093.59
MT,Montana,508.60,557.14,7607.97
NC,North Carolina,409.73,447.77,84256.61
ND,North Dakota,523.65,574.33,7443.25
NE,Nebraska,476.77,523.77,16313.08
NH,New Hampshire,348.49,380.54,24594.92
NJ,New Jersey,272.02,296.96,311404.23
NM,New Mexico,481.62,528.09,17966.83
NV,Nevada,364.24,396.99,212327.36
NY,New York,381.57,417.48,101991.00
OH,Ohio,308.41,337.68,99883.97
OK,Oklahoma,429.98,467.81,55287.17
OR,Oregon,381.80,417.97,86161.99
PA,Pennsylvania,421.68,463.84,67172.07
RI,Rhode Island,338.03,369.17,110023.32
SC,South Carolina,408.99,447.63,34309.50
SD,South Dakota,526.01,577.87,7995.05
TN,Tennessee,428.70,469.61,94941.68
TX,Texas,419.49,458.96,99292.77
UT,Utah,316.06,345.44,62299.02
VA,Virginia,440.13,481.00,36427.83
VT,Vermont,422.26,461.77,15326.00
WA,Washington,354.46,388.00,120674.39
WI,Wisconsin,462.15,504.26,37559.78
WV,West Virginia,422.97,467.71,3064.52
WY,Wyoming,536.20,588.76,1973.72
